Numéro question,1,1,1,1,2,3,3,3,3,4,5,6,7,8,8,8,8,9,10,11,12,13,14,15,15,15,15,16,17
Résumé question,Minecraft,Maths,Meme,Musique,Échecs,Lien taille / performance,Comportement de refus,Raisonnement logique,Stockage des connaissances,RLHF,Timeline OpenAI,Chercheurs IA,Risque de catastrophe,Cyberattaques,Crash économique,Perte de contrôle,Automatisation,Utilisation de ChatGPT,API publique,Sûreté de l’IA / juridique,Sûreté de l’IA / recherche,Ralentir modèles plus puissants,Ralentir modèles actuels,AI Act,Séoul,PauseAI,CeSIA,Créneau D,Commentaires
Type de réponse,0 / 1,0 / 1,0 / 1,0 / 1,"1000, 1500, 1800, 2000",0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,Nombre d’années,Pourcentage,Pourcentage,Nombre,Nombre,Nombre,Nombre,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,Texte
,0,1,1,1,1000,1,0,0,0,0,10,5,0.1,4,3,1,7,1,1,1,1,0,0,0,0,1,0,1,
,0,0,1,1,2200,1,0,0,0,0,10,15,10,7,7,8,8,1,1,0,0,0,1,0,0,0,0,1,
,1,0,0,1,1000,1,0,0,0,0,4,10,1,6,4,5,3,1,1,1,0,0,0,1,0,0,1,1,
,1,0,0,1,1000,0,0,0,0,0,4,50,30,4,2,3,1,1,1,0,1,0,1,1,1,1,1,1,
,0,0,1,0,1800,1,0,0,0,1,10,95,0.1,5,7,10,8,1,1,0,0,1,1,1,1,1,1,1,It might be better do discuss between the „vertical and horizontal“ aspects  of training LLM (risks vs performance)
,0,0,1,0,1800,0,0,0,1,0,10,10,1,8,4,1,3,1,1,0,1,0,0,1,0,1,0,1,
,0,0,1,1,1000,1,0,0,1,0,10,15,1,6,2,6,2,1,1,0,1,0,0,0,0,0,0,0,
,1,1,1,1,1000,1,0,0,1,0,4,35,1,2,5,1,5,0,1,0,1,0,0,1,0,1,0,1,Ça fait plaisir de voir des élèves engagés à ce sujet ! J’aurais bien aimé avoir la source de la question 6)
,0,1,1,1,2200,1,0,0,1,0,4,20,1,7,7,2,2,1,1,1,0,0,1,1,0,1,1,0,Existe déjà en MODS: „AI and ethics“
,0,1,0,0,1800,0,0,1,0,0,10,5,1,2,3,2,8,1,1,0,1,0,0,0,0,0,0,1,
,1,0,0,1,1000,1,0,1,0,0,10,90,30,5,2,3,1,1,1,0,1,0,1,1,1,1,1,1,Très intéressant. Les résultats doivent être publiées
,1,0,1,1,1000,1,0,0,0,0,10,15,0.1,7,3,1,2,1,1,0,0,0,0,0,0,0,0,1,
,1,1,1,1,1800,1,0,1,1,0,20,5,1,8,7,6,2,1,1,0,0,0,0,0,1,0,0,0,
,1,1,1,1,1800,1,0,1,1,0,20,5,1,8,7,6,3,1,1,0,0,0,0,0,1,0,0,0,
,1,1,1,0,1800,1,0,1,1,0,20,5,1,8,7,6,2,1,1,0,0,0,0,0,1,0,0,0,
,1,0,1,1,1800,,,,,,4,10,1,4,6,2,6,1,1,0,0,0,1,1,0,0,0,1,Le cours sur la sûreté de l’IA existe en cours FH
,0,0,0,0,1500,1,0,0,0,0,10,5,1,8,8,5,5,1,1,0,0,0,1,1,0,0,0,1,
,0,0,0,0,1800,1,0,0,0,0,10,5,1,5,4,1,3,1,1,0,0,0,1,1,0,0,0,1,
